,critic,fresh,imdb,publication,quote,review_date,rtid,title,date,year,test
16362,James Berardinelli,False,19729,ReelViews,The Broadway Melody has not stood the test of time in ways that many of its more artistic contemporaries have.,1929-02-01,18773,The Broadway Melody,1929-02-01,1929,False
16369,James Berardinelli,True,20629,ReelViews,"All Quiet on the Western Front is the definitive World War I motion picture, the best of a surprisingly small class of movies.",1930-08-24,17121,All Quiet on the Western Front,1930-08-24,1930,False
16395,James Berardinelli,True,22958,ReelViews,"It hasn't aged as well as some Oscar-winners, but neither is it as dated as, for example, Cimarron.",1932-01-01,19274,Grand Hotel,1932-01-01,1932,False
16401,James Berardinelli,True,23876,ReelViews,"If nothing else, this reveals something about the lingering power of World War I on the national and international psyches during the era.",1933-01-01,358138026,Cavalcade,1933-01-01,1933,False
7948,James Berardinelli,True,25316,ReelViews,"Its opposites-attract melding of screwball comedy and the road trip elements has become one of about a half-dozen standard love story formulas. Most years, there's at least one theatrical release that owes a debt to this film.",1934-02-22,18256,It Happened One Night,1934-02-22,1934,False
16408,James Berardinelli,True,26752,ReelViews,A rousing adventure film set on the high seas.,1935-01-01,18544,Mutiny on the Bounty,1935-01-01,1935,False
16413,James Berardinelli,False,27698,ReelViews,"Although some of the production's technical aspects remain impressive, the dramatic elements come across as trite and many of the musical numbers are dated.",1936-01-01,20735,The Great Ziegfeld,1936-01-01,1936,False
16419,James Berardinelli,True,29146,ReelViews,It's a compelling film that demands no previous knowledge of the title character in order to derive satisfaction from the story.,1937-10-02,19578,The Life of Emile Zola,1937-10-02,1937,False
16424,James Berardinelli,True,30993,ReelViews,You Can't Take it with You was a tonic to a Depression-weary country beginning to right itself economically.,1938-08-23,17136,You Can't Take It with You,1938-08-23,1938,False
10662,David Fear,True,32553,Time Out New York,It's easy to forget the sheer cojones Charles Chaplin showed when he attacked Adolf Hitler in this 1940 satire.,1940-01-01,9962,The Great Dictator,1940-01-01,1940,False
16431,James Berardinelli,True,33729,ReelViews,"If not for the inevitable comparisons to Citizen Kane, How Green Was My Valley might have aged better.",1941-01-01,22108,How Green Was My Valley,1941-01-01,1941,False
8090,Owen Gleiberman,True,33467,Entertainment Weekly,"Fifty years after its release, Citizen Kane still seems richer, bolder, more spectacularly alive than any other film of the studio-system era. Regardless of how many times you've seen Orson Welles' 1941 masterpiece, it always feels like the first time.",1941-05-01,10074,Citizen Kane,1941-05-01,1941,False
16437,James Berardinelli,True,35093,ReelViews,It's one of a few highly regarded contemporaneous motion pictures to deal frankly with the domestic aspects of World War II.,1942-06-04,18387,Mrs. Miniver,1942-06-04,1942,False
10136,Lisa Schwarzbaum,True,78748,Entertainment Weekly,"In space, the famous tagline went, no one can hear you scream. In Alien, you can hear lessons for the sci-fi future in a great milestone from the recent past.",1979-01-01,13492,Alien,1979-01-01,1979,False
9947,Lisa Schwarzbaum,True,80684,Entertainment Weekly,"The storytelling is the series' best, with a zingy balance of drama, humor, and Deep Thoughts.",1980-05-21,11470,Star Wars: Episode V - The Empire Strikes Back,1980-05-21,1980,False
17661,James Berardinelli,False,88128,ReelViews,"Some of the material works marvelously well, but the stuff that doesn't takes the movie down with it.",1984-01-01,15348,Sixteen Candles,1984-01-01,1984,False
10581,James Berardinelli,True,88763,ReelViews,"One of the mid-'80s most enduring and enjoyable confections: an infectious mix of comedy, fantasy, satire, excitement, and nostalgia.",1985-07-03,23532,Back to the Future,1985-07-03,1985,False
16580,James Berardinelli,True,89755,ReelViews,It tells a grand love story in less-than-grand fashion but is nevertheless worth seeing because of all the other things it does right.,1985-12-18,10091,Out of Africa,1985-12-18,1985,False
17759,Owen Gleiberman,True,99763,Entertainment Weekly,"The fact that Henry is affectless on the surface but commits exploitation-movie mayhem on the side is, by now, less an unsettling revelation than a rote banality.",1986-09-24,202623137,Henry: Portrait of a Serial Killer,1986-09-24,1986,False
20420,James Berardinelli,True,90863,ReelViews,"The Color of Money is a good movie, but perhaps not a good sequel.",1986-10-08,13091,The Color of Money,1986-10-08,1986,False
15381,James Berardinelli,True,94737,ReelViews,"The film is funny, sweet, and even a little edgy. It's also emotionally honest and almost never crass.",1988-01-01,10396,Big,1988-01-01,1988,False
25663,Jonathan Rosenbaum,True,95631,Chicago Reader,"Miraculously, De Niro and Grodin turn this sow's ear into a plausible vehicle for a buddy movie, and thanks to both of them, this movie springs to life.",1988-07-11,16074,Midnight Run,1988-07-11,1988,False
9880,Jonathan Rosenbaum,True,98724,Chicago Reader,"Lean, economical, relatively unpretentious (or at least pretentiously unpretentious), and purposefully small-scale.",1989-01-20,13618,"Sex, Lies, and Videotape",1989-01-20,1989,False
9777,Owen Gleiberman,False,97108,Entertainment Weekly,It's probably safe to say that the British director Peter Greenaway holds the ugliest view of mankind ever put forth by a maker of feature films.,1989-09-11,14895,The Cook the Thief His Wife & Her Lover,1989-09-11,1989,False
22441,Owen Gleiberman,True,99052,Entertainment Weekly,"It gives you the willies in a cheery, presentable way.",1990-07-18,11047,Arachnophobia,1990-07-18,1990,False
5760,Owen Gleiberman,False,99348,Entertainment Weekly,"[A] beautiful and soft-headed frontier epic, which looks at Native Americans through New Age-colored glasses.",1990-11-09,12772,Dances with Wolves,1990-11-09,1990,False
5711,Owen Gleiberman,False,99785,Entertainment Weekly,The movie devolves into an egregious Three Stooges painfest: We're meant to giggle and clap along with Kevin as the crooks get their heads singed with blowtorches and walk barefoot on glass.,1990-11-16,12438,Home Alone,1990-11-16,1990,False
17325,,True,100477,Entertainment Weekly,"Carries its ambitions with an easy grace, expanding the art of animation to fresh ground without losing sight of the silly fun we love cartoons for.",1990-11-16,9505,The Rescuers Down Under,1990-11-16,1990,False
18652,Owen Gleiberman,True,99487,Entertainment Weekly,"The romanticism has a personal dimension -- for Edward is, of course, Burton's surreal portrait of himself as an artist: a wounded child converting his private darkness into outlandish pop visions. Like Edward, he finds the light.",1990-12-07,10019,Edward Scissorhands,1990-12-07,1990,False
8184,Owen Gleiberman,True,101862,Entertainment Weekly,"This feel-good finale might feel even better, though, if it had any true connection to the pat, amiable, and rather dawdling farce that preceded it.",1991-01-01,10963,Father of the Bride,1991-01-01,1991,False
5782,Owen Gleiberman,True,102926,Entertainment Weekly,"Demme has created a supremely sensuous and hypnotic thriller, one that's likely to become his first major hit.",1991-02-13,16286,The Silence of the Lambs,1991-02-13,1991,False
26681,Owen Gleiberman,True,102687,Entertainment Weekly,"What's truly revolutionary about this filmmaker -- his perverse, ironic humanity -- is only intermittently on display in this quasi-provocative formalist knickknack",1991-04-05,15428,Poison,1991-04-05,1991,False
5747,James Berardinelli,True,103064,ReelViews,Few films have matched it within the science fiction genre for sheer white-knuckle exhilaration.,1991-07-03,14016,Terminator 2: Judgment Day,1991-07-03,1991,False
25208,Owen Gleiberman,True,101669,Entertainment Weekly,"The movie isn't just unpretentious; it's garishly, thrillingly vulgar.",1991-08-23,16768,Dead Again,1991-08-23,1991,False
4139,,True,101540,Entertainment Weekly,"Proves that when a maverick virtuoso like Scorsese sets his mind to it, making ''mainstream'' movies is one more thing he can do better than just about anyone else.",1991-11-13,13137,Cape Fear,1991-11-13,1991,False
10640,Owen Gleiberman,True,102536,Entertainment Weekly,"Night on Earth dawdles a bit, and a couple of the segments, notably the one in Helsinki, feel like half-baked epiphanies. Throughout, though, there are moments that catch you delightfully off guard.",1991-12-12,16877,Night on Earth,1991-12-12,1991,False
26950,Owen Gleiberman,False,104694,Entertainment Weekly,"From its jokey, one-note characters to its endless baseball montages, A League of Their Own is all flash, all surface: It's a great big trailer for itself.",1992-01-01,10373,A League of Their Own,1992-01-01,1992,False
9808,,True,101811,Entertainment Weekly,That's what's appealing about the movie (everyone walks away happy) and also forgettable (everyone walks away mush).,1992-04-05,535718647,Enchanted April,1992-04-05,1992,False
10558,Owen Gleiberman,True,105695,Entertainment Weekly,"Enjoy it for the handsome wide-screen vistas, the interplay of the actors, the classical sweep of its story line. Just don't expect the new, soul-searching Eastwood to be any more dramatically convincing than the old.",1992-08-03,13014,Unforgiven,1992-08-03,1992,False
26992,Owen Gleiberman,True,105415,Entertainment Weekly,A disarmingly sweet-spirited comedy written and directed by Cameron Crowe.,1992-09-18,10352,Singles,1992-09-18,1992,False
9323,,True,104348,Entertainment Weekly,"The performers achieve a true ensemble rhythm; at times, the entire office seems like a single, shouting organism.",1992-09-29,12913,Glengarry Glen Ross,1992-09-29,1992,False
27061,Owen Gleiberman,True,105046,Entertainment Weekly,"The new film version of John Steinbeck's Of Mice and Men is lyrical, stirring, and beautifully acted -- a seamless adaptation of a novel many will recall with almost too much familiarity.",1992-10-02,11451,Of Mice and Men,1992-10-02,1992,False
26928,Owen Gleiberman,True,105323,Entertainment Weekly,"An epic picaresque in the tradition of Rain Man, Scent of a Woman is Al Pacino's entry into the Dustin Hoffman virtousic-one-man-show sweepstakes.",1992-12-23,12958,Scent of a Woman,1992-12-23,1992,False
4399,,True,106519,Entertainment Weekly,A competent and solidly unsurprising urban-underworld thriller: De Palma's imitation of a middle-drawer Sidney Lumet movie.,1993-01-01,16865,Carlito's Way,1993-01-01,1993,False
8711,Ty Burr,True,107131,Entertainment Weekly,"having suffered with my human through the dim-witted Beethoven and the dreadful Bingo, I found Homeward Bound to be a breath of animal-oriented realism, voice-overs or no.",1993-02-03,9431,Homeward Bound: The Incredible Journey,1993-02-03,1993,False
